label,pattern,attr,replace
myrsidea,Myrsidea grallinae,lower,
myrsidea,Myrsidea grandiceps,lower,
myrsidea,Myrsidea guimaraesi,lower,
myrsidea,Myrsidea gularis,lower,
myrsidea,Myrsidea habiae,lower,
myrsidea,Myrsidea hihi,lower,
myrsidea,Myrsidea himalayensis,lower,
myrsidea,Myrsidea hirsuta,lower,
myrsidea,Myrsidea hopkinsi,lower,
myrsidea,Myrsidea hrabaki,lower,
myrsidea,Myrsidea icterocephalae,lower,
myrsidea,Myrsidea iliacae,lower,
myrsidea,Myrsidea iliaci,lower,
myrsidea,Myrsidea imbricata,lower,
myrsidea,Myrsidea incerta,lower,
myrsidea,Myrsidea indigenella,lower,
myrsidea,Myrsidea indivisa,lower,
myrsidea,Myrsidea insolita,lower,
myrsidea,Myrsidea insularis,lower,
myrsidea,Myrsidea insulsa,lower,
myrsidea,Myrsidea integra,lower,
myrsidea,Myrsidea intermedia,lower,
myrsidea,Myrsidea interrupta,lower,
myrsidea,Myrsidea invadens,lower,
myrsidea,Myrsidea isacantha,lower,
myrsidea,Myrsidea ishizawai,lower,
myrsidea,Myrsidea islandica,lower,
myrsidea,Myrsidea isostoma,lower,
myrsidea,Myrsidea ivanliteraki,lower,
myrsidea,Myrsidea jenniferae,lower,
myrsidea,Myrsidea johnklickai,lower,
myrsidea,Myrsidea johnsoni,lower,
myrsidea,Myrsidea jonnyvonbergeni,lower,
myrsidea,Myrsidea karyi,lower,
myrsidea,Myrsidea kathleenae,lower,
myrsidea,Myrsidea keniensis,lower,
myrsidea,Myrsidea kikuchii,lower,
myrsidea,Myrsidea klickai,lower,
myrsidea,Myrsidea klimesi,lower,
myrsidea,Myrsidea kristineae,lower,
myrsidea,Myrsidea kulpai,lower,
myrsidea,Myrsidea laciniaesternata,lower,
myrsidea,Myrsidea laciniata,lower,
myrsidea,Myrsidea lampropsaricola,lower,
myrsidea,Myrsidea lanei,lower,
myrsidea,Myrsidea larvatae,lower,
myrsidea,Myrsidea lathrotriccola,lower,
myrsidea,Myrsidea latifrons,lower,
myrsidea,Myrsidea ledgeri,lower,
myrsidea,Myrsidea lehmensicki,lower,
myrsidea,Myrsidea lengerkeni,lower,
myrsidea,Myrsidea leptopogoni,lower,
myrsidea,Myrsidea leucophthalmi,lower,
myrsidea,Myrsidea leucostictae,lower,
myrsidea,Myrsidea lightae,lower,
myrsidea,Myrsidea lindolphoi,lower,
myrsidea,Myrsidea liopari,lower,
myrsidea,Myrsidea longipecta,lower,
myrsidea,Myrsidea luroris,lower,
myrsidea,Myrsidea lyali,lower,
myrsidea,Myrsidea macraidoia,lower,
myrsidea,Myrsidea macronoi,lower,
myrsidea,Myrsidea macrorhynchicola,lower,
myrsidea,Myrsidea magnidens,lower,
myrsidea,Myrsidea major,lower,
myrsidea,Myrsidea malayensis,lower,
myrsidea,Myrsidea manipurensis,lower,
myrsidea,Myrsidea marini,lower,
